,MSSubClass,MSZoning,Neighborhood,OverallQual,OverallCond,YearRemodAdd,RoofStyle,MasVnrType,BsmtQual,BsmtExposure,HeatingQC,CentralAir,1stFlrSF,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,PavedDrive,LotFrontage,YrSold,SalePrice
615,85,RL,NAmes,6,7,1963,Gable,BrkFace,TA,Gd,Ex,Y,1054,1054,1,Gd,0,,Attchd,RFn,2,Y,80.0,2010,137500
613,20,RL,Mitchel,5,5,2007,Gable,None,Gd,No,Ex,Y,1120,1120,0,TA,0,,,,0,Y,70.0,2007,147000
1303,20,RL,Somerst,7,5,2005,Gable,BrkFace,Gd,Av,Ex,Y,1616,1616,0,Gd,0,,Attchd,RFn,3,Y,73.0,2006,232000
486,20,RL,NAmes,5,7,1965,Hip,BrkFace,TA,No,TA,Y,1073,1073,1,TA,0,,Attchd,RFn,2,Y,79.0,2007,156000
561,20,RL,Mitchel,5,5,1975,Gable,None,Gd,Av,Gd,Y,1389,1389,1,TA,1,TA,Attchd,RFn,2,Y,77.0,2006,170000
308,30,RL,Edwards,4,5,1950,Gable,None,TA,No,Ex,Y,861,861,0,TA,0,,Detchd,Unf,2,Y,,2009,82500
461,70,RL,SWISU,7,9,2007,Gable,None,Gd,No,Ex,Y,575,1135,1,Gd,0,,Detchd,RFn,2,Y,60.0,2009,155000
1142,60,RL,CollgCr,8,5,2007,Hip,Stone,Ex,Gd,Ex,Y,1466,2828,1,Gd,1,TA,BuiltIn,RFn,3,Y,77.0,2007,424870
730,120,RL,StoneBr,8,5,1996,Gable,None,Gd,No,Ex,Y,1616,1616,1,Gd,1,TA,Attchd,RFn,2,Y,39.0,2010,236500
1155,20,RL,Veenker,5,8,2004,Gable,None,Gd,Gd,TA,Y,1437,1437,1,Gd,1,Fa,Attchd,RFn,2,Y,90.0,2007,218000
1203,20,RL,CollgCr,7,5,2001,Gable,BrkFace,Gd,No,Ex,Y,1630,1630,0,Gd,1,TA,Attchd,Unf,2,Y,75.0,2009,213000
700,20,RL,Timber,8,5,2002,Hip,BrkFace,Ex,Gd,Ex,Y,1800,1800,1,Gd,1,Gd,Attchd,Fin,3,Y,85.0,2006,312500
849,80,RL,Veenker,6,7,1994,Hip,BrkFace,TA,No,Ex,Y,1094,1855,0,TA,1,TA,Attchd,RFn,2,Y,80.0,2007,187000
1260,60,RL,Gilbert,6,5,1999,Gable,None,Gd,No,Ex,Y,892,1675,0,TA,1,TA,BuiltIn,Fin,2,Y,,2009,181000
787,60,RL,SawyerW,7,5,2004,Gable,None,Gd,No,Ex,Y,956,2084,1,Gd,0,,BuiltIn,RFn,2,Y,76.0,2010,233000
352,50,RL,Edwards,5,6,1950,Gable,None,TA,Mn,TA,N,616,1111,0,TA,0,,Detchd,Unf,1,Y,60.0,2008,95000
710,30,RL,BrkSide,3,6,2003,Gable,None,TA,No,Gd,Y,729,729,0,TA,0,,,,0,N,56.0,2008,52000
124,20,RL,NWAmes,6,5,1998,Gable,None,Gd,No,TA,Y,1586,1586,0,TA,1,TA,Attchd,Unf,2,Y,48.0,2009,181000
178,20,RL,StoneBr,9,5,2009,Hip,Stone,Ex,No,Ex,Y,2234,2234,1,Ex,1,Gd,Attchd,Fin,3,Y,63.0,2009,501837
287,20,RL,NAmes,4,4,1971,Gable,None,TA,No,TA,Y,858,858,0,TA,0,,,,0,Y,,2006,88000
1407,20,RL,Mitchel,5,5,1985,Gable,None,TA,No,Ex,Y,833,833,1,TA,0,,,,0,Y,,2009,112000
1208,20,RL,NAmes,5,7,1980,Gable,None,TA,No,TA,Y,1283,1283,1,TA,0,,Detchd,Unf,2,Y,70.0,2008,140000
294,20,RL,NAmes,6,5,1953,Hip,Stone,TA,No,TA,Y,1644,1644,1,TA,2,Gd,Attchd,Fin,2,Y,80.0,2009,167000
327,20,RL,NAmes,6,5,1960,Hip,BrkFace,TA,No,TA,Y,1383,1383,0,TA,0,,Attchd,RFn,1,Y,80.0,2006,145250
1456,20,RL,NWAmes,6,6,1988,Gable,Stone,Gd,No,TA,Y,2073,2073,1,TA,2,TA,Attchd,Unf,2,Y,85.0,2010,210000
841,70,RM,OldTown,5,8,2002,Gable,None,TA,No,Gd,Y,958,1539,0,Gd,1,Po,Detchd,Unf,2,P,60.0,2008,157500
1121,20,RL,CollgCr,7,5,2006,Gable,BrkFace,Gd,Av,Ex,Y,1552,1552,0,Gd,0,,Attchd,RFn,3,Y,84.0,2006,212900
931,20,RL,NAmes,5,6,1965,Gable,None,TA,No,Ex,Y,925,925,0,TA,0,,Detchd,Unf,1,Y,70.0,2009,117500
236,20,RL,CollgCr,7,5,2004,Gable,BrkFace,Gd,Av,Ex,Y,1414,1414,0,Gd,0,,Attchd,RFn,2,Y,65.0,2010,185500
88,50,C (all),IDOTRR,3,2,1982,Hip,None,TA,No,TA,N,1013,1526,0,Fa,0,,,,0,N,105.0,2009,85000
886,90,RL,NAmes,5,5,2005,Gable,BrkFace,TA,No,Ex,Y,1712,1712,0,TA,0,,Attchd,Fin,2,Y,70.0,2006,145000
552,20,RL,NridgHt,8,5,2006,Gable,Stone,Ex,Av,Ex,Y,1717,1717,0,Gd,1,Gd,Attchd,RFn,3,Y,87.0,2009,255500
630,70,RM,OldTown,5,6,1991,Gable,None,Fa,No,TA,Y,1089,1750,0,Ex,0,,Detchd,Unf,1,N,50.0,2006,124000
1352,50,RM,BrkSide,6,9,2000,Gable,None,TA,No,TA,Y,786,1176,0,TA,0,,Detchd,Unf,2,N,50.0,2009,134900
665,60,RL,Gilbert,8,5,2000,Gable,BrkFace,Gd,No,Ex,Y,1454,1936,0,Gd,1,TA,Attchd,RFn,2,Y,106.0,2006,230500
900,20,RL,NAmes,4,6,1971,Gable,None,TA,No,TA,Y,858,858,0,TA,0,,Detchd,Unf,1,Y,,2007,110000
290,60,RL,CollgCr,8,5,2006,Gable,None,Gd,Av,Ex,Y,1079,1919,0,Gd,1,Gd,Attchd,RFn,2,Y,120.0,2006,233230
1382,70,RM,OldTown,7,7,1950,Hip,None,Fa,No,Ex,Y,998,1762,1,Gd,0,,Detchd,Unf,2,N,60.0,2006,157000
570,90,RL,NAmes,5,5,1965,Gable,BrkFace,TA,No,TA,Y,1728,1728,0,TA,0,,Detchd,Unf,2,Y,74.0,2008,142600
348,160,RL,NridgHt,7,5,2004,Gable,Stone,Gd,No,Ex,Y,764,1626,1,Gd,0,,BuiltIn,RFn,2,Y,36.0,2008,154000
544,60,RL,Gilbert,7,5,2006,Gable,None,Gd,Av,Ex,Y,664,1496,1,Gd,1,Gd,Attchd,RFn,2,Y,58.0,2006,179665
